id,season,city,date,match_number,team1,team2,toss_winner,toss_decision,winner,result,player_of_match,venue
335982,2007/08,Bangalore,2008-04-18,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,normal,BB McCullum,M Chinnaswamy Stadium
335983,2007/08,Chandigarh,2008-04-19,2,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,normal,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
335984,2007/08,Delhi,2008-04-19,3,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,normal,MF Maharoof,Feroz Shah Kotla
335985,2007/08,Mumbai,2008-04-20,5,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,normal,MV Boucher,Wankhede Stadium
335986,2007/08,Kolkata,2008-04-20,4,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,normal,DJ Hussey,Eden Gardens
335987,2007/08,Jaipur,2008-04-21,6,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,normal,SR Watson,Sawai Mansingh Stadium
335988,2007/08,Hyderabad,2008-04-22,7,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,normal,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
335989,2007/08,Chennai,2008-04-23,8,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,normal,ML Hayden,"MA Chidambaram Stadium, Chepauk"
335990,2007/08,Hyderabad,2008-04-24,9,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
335991,2007/08,Chandigarh,2008-04-25,10,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,normal,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali"
335992,2007/08,Bangalore,2008-04-26,12,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,SR Watson,M Chinnaswamy Stadium
335993,2007/08,Chennai,2008-04-26,11,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,normal,JDP Oram,"MA Chidambaram Stadium, Chepauk"
335994,2007/08,Mumbai,2008-04-27,14,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,normal,AC Gilchrist,Dr DY Patil Sports Academy
335995,2007/08,Chandigarh,2008-04-27,13,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,normal,SM Katich,"Punjab Cricket Association Stadium, Mohali"
335996,2007/08,Bangalore,2008-04-28,15,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,normal,MS Dhoni,M Chinnaswamy Stadium
335997,2007/08,Kolkata,2008-04-29,16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,normal,ST Jayasuriya,Eden Gardens
335998,2007/08,Delhi,2008-04-30,17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,normal,GD McGrath,Feroz Shah Kotla
335999,2007/08,Hyderabad,2008-05-01,19,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,normal,SE Marsh,"Rajiv Gandhi International Stadium, Uppal"
336000,2007/08,Jaipur,2008-05-01,18,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,normal,SA Asnodkar,Sawai Mansingh Stadium
336001,2007/08,Chennai,2008-05-02,20,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,normal,V Sehwag,"MA Chidambaram Stadium, Chepauk"
336003,2007/08,Chandigarh,2008-05-03,22,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,normal,IK Pathan,"Punjab Cricket Association Stadium, Mohali"
336034,2007/08,Bangalore,2008-05-03,21,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,normal,P Kumar,M Chinnaswamy Stadium
